instnm,Institution (entity) name (HD2018),Street address or post office box (HD2018),City location of institution (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1718),Average net price-students awarded grant or scholarship aid  2017-18 (SFA1718),Applicants total (ADM2018),Admissions total (ADM2018),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2018),SAT Math 25th percentile score (ADM2018),SAT Math 75th percentile score (ADM2018),ACT Composite 25th percentile score (ADM2018),ACT Composite 75th percentile score (ADM2018),Student-to-faculty ratio (EF2018D),
Kiamichi Technology Center-McAlester,Kiamichi Technology Center-McAlester,301 Kiamichi Dr,McAlester,-95.745999,34.924173,24,,,,,,,,,,3,
Kiamichi Technology Center-Poteau,Kiamichi Technology Center-Poteau,1509 S McKenna,Poteau,-94.635415,35.038045,,,,,,,,,,,,
Kiamichi Technology Center-Spiro,Kiamichi Technology Center-Spiro,610 SW 3rd,Spiro,-94.629185,35.238047,,,,,,,,,,,,
Kiamichi Technology Center-Stigler,Kiamichi Technology Center-Stigler,1410 Old Military Road,Stigler,-95.107964,35.248028,,,,,,,,,,,,
Kiamichi Technology Centers-Talihina Campus,Kiamichi Technology Centers-Talihina Campus,13739 SE 202 Road,Talihina,-95.084414,34.757798,,,,,,,,,,,,
Kilgore College,Kilgore College,1100 Broadway,Kilgore,-94.871468,32.377821,52,,,,,,,,,,14,
King University,King University,1350 King College Rd,Bristol,-82.159421,36.585309,74,21034,1046,608,470,580,480,580,19,25,12,
King's College,King's College,322 Lamar Avenue,Charlotte,-80.822283,35.213399,,,,,,,,,,,,
King's College,King's College,133 N River St,Wilkes-Barre,-75.879822,41.250097,86,26912,4292,3330,,,,,,,13,
Kirksville Area Technical Center,Kirksville Area Technical Center,1103 S Cottage Grove,Kirksville,-92.565103,40.186490,97,,22,18,,,,,,,3,
Kirkwood Community College,Kirkwood Community College,6301 Kirkwood Blvd SW,Cedar Rapids,-91.651172,41.911268,37,,,,,,,,,,19,
Kirtland Community College,Kirtland Community College,10775 N Saint Helen Road,Roscommon,-84.413388,44.490753,54,,,,,,,,,,15,
Kishwaukee College,Kishwaukee College,21193 Malta Rd,Malta,-88.880524,41.938234,43,,,,,,,,,,18,
Klamath Community College,Klamath Community College,7390 South Sixth Street,Klamath Falls,-121.698855,42.195028,50,,,,,,,,,,15,
Knox Beauty College,Knox Beauty College,320 E Culver Rd,Knox,-86.618158,41.287712,32,4532,,,,,,,,,10,
Knox College,Knox College,2 E South St,Galesburg,-90.373165,40.943064,99,24668,2738,2032,,,,,,,11,
Knox County Career Center,Knox County Career Center,308 Martinsburg Rd,Mount Vernon,-82.475117,40.375889,33,,,,,,,,,,7,
Kor Beauty Academy,Kor Beauty Academy,16610 North 75th Avenue,Peoria,-112.220934,33.634726,89,11240,,,,,,,,,20,
Kutztown University of Pennsylvania,Kutztown University of Pennsylvania,15200 Kutztown Rd,Kutztown,-75.783933,40.513561,62,,8112,6741,490,580,480,560,18,24,18,
Kuyper College,Kuyper College,3333 East Beltline Ave NE,Grand Rapids,-85.592657,43.021950,83,18754,119,81,450,540,400,510,17,25,11,
L Makeup Institute,L Makeup Institute,440 S. Rampart Blvd. B-130,Las Vegas,-115.286321,36.166597,25,20487,,,,,,,,,12,
L'Ecole Culinaire-Kansas City,L'Ecole Culinaire-Kansas City,310 Ward Parkway,Kansas City,-94.590962,39.040971,,,,,,,,,,,,
L'Ecole Culinaire-Memphis,L'Ecole Culinaire-Memphis,1245 N. Georgetown Parkway,Cordova,-89.797449,35.159194,,,,,,,,,,,,
L'Ecole Culinaire-St Louis,L'Ecole Culinaire-St Louis,9811 South Forty Drive,St. Louis,-90.392161,38.635397,,,,,,,,,,,,
L'esprit Academy,L'esprit Academy,42083 Ford Road,Canton,-83.457386,42.321904,53,18012,,,,,,,,,7,
L3 Commercial Training Solutions Airline Academy,L3 Commercial Training Solutions Airline Academy,2700 Flightline Ave,Sanford,-81.251511,28.778580,15,109743,,,,,,,,,1,
La Belle Beauty Academy,La Belle Beauty Academy,7390 West Flagler Street,Miami,-80.315820,25.769614,55,19875,,,,,,,,,20,
La Belle Beauty School,La Belle Beauty School,1495 West 49 Street,Hialeah,-80.312711,25.866950,59,10727,,,,,,,,,20,
La James College of Hairstyling and Cosmetology,La James College of Hairstyling and Cosmetology,24 Second St NE,Mason City,-93.199881,43.153786,89,9654,,,,,,,,,7,
La James International College-Cedar Falls,La James International College-Cedar Falls,6322 University Ave,Cedar Falls,-92.434496,42.515026,81,13663,,,,,,,,,4,
La James International College-Davenport,La James International College-Davenport,5205 North Brady Street,Davenport,-90.568200,41.572861,80,14581,,,,,,,,,12,
La James International College-East Moline,La James International College-East Moline,485 Avenue of the Cities,East Moline,-90.449351,41.490319,86,13962,,,,,,,,,3,
La James International College-Ft Dodge,La James International College-Ft Dodge,2419 5th Avenue South,Fort Dodge,-94.163856,42.500500,90,14297,,,,,,,,,8,
La James International College-Iowa City,La James International College-Iowa City,227 E Market-Brewery Sq,Iowa City,-91.532038,41.663433,75,13946,,,,,,,,,8,
La James International College-Johnston,La James International College-Johnston,8805 Chambery Blvd,Johnston,-93.738577,41.661015,76,16143,,,,,,,,,12,
La Roche University,La Roche University,9000 Babcock Blvd,Pittsburgh,-80.014851,40.568615,76,21720,1309,1301,470,560,440,550,16,21,12,
La Salle University,La Salle University,1900 W Olney Ave,Philadelphia,-75.153061,40.037979,89,24473,6642,5392,,,,,,,12,
La Sierra University,La Sierra University,4500 Riverwalk Parkway,Riverside,-117.500054,33.910704,90,21451,4275,2013,460,570,440,550,17,23,12,
La'James International College,La'James International College,1660 N Grant,Fremont,-96.482042,41.445760,84,14089,,,,,,,,,6,
LaBarberia Institute of Hair,LaBarberia Institute of Hair,1633 Golden Gate Plaza,Mayfield Hts,-81.450649,41.516100,78,12446,,,,,,,,,17,
Labette Community College,Labette Community College,200 S 14th,Parsons,-95.255368,37.339062,44,,,,,,,,,,15,
Laboure College,Laboure College,303 Adams Street,Milton,-71.058279,42.260866,48,35549,83,15,,,,,,,8,
Lac Courte Oreilles Ojibwa Community College,Lac Courte Oreilles Ojibwa Community College,13466 W Trepania Rd,Hayward,-91.365002,45.942252,93,,,,,,,,,,20,
Lackawanna College,Lackawanna College,501 Vine St,Scranton,-75.658963,41.411556,75,17380,,,,,,,,,19,
Lafayette College,Lafayette College,High St,Easton,-75.209786,40.699560,51,26855,9237,2715,620,700,630,735,27,32,10,
LaGrange College,LaGrange College,601 Broad Street,Lagrange,-85.043113,33.038564,99,19918,1511,728,520,600,500,580,20,23,11,
Laguna College of Art and Design,Laguna College of Art and Design,2222 Laguna Canyon Rd,Laguna Beach,-117.772564,33.561448,100,36133,367,297,,,,,,,12,
Laird Institute of Spa Therapy,Laird Institute of Spa Therapy,981 Second Street,Manchester,-71.480701,42.967431,77,23691,,,,,,,,,8,
Lake Area Technical Institute,Lake Area Technical Institute,1201 Arrow Avenue,Watertown,-97.095229,44.901714,60,,,,,,,,,,17,
Lake Career and Technical Center,Lake Career and Technical Center,269 Dare Blvd.,Camdenton,-92.732943,38.005502,40,,,,,,,,,,7,
Lake Erie College,Lake Erie College,391 W Washington St,Painesville,-81.251817,41.717841,73,20460,1523,990,463,550,460,580,17,23,14,
Lake Erie College of Osteopathic Medicine,Lake Erie College of Osteopathic Medicine,1858 W Grandview Blvd,Erie,-80.105969,42.080699,0,,,,,,,,,,1,
Lake Forest College,Lake Forest College,555 N Sheridan Road,Lake Forest,-87.827454,42.249574,97,27131,4147,2402,,,,,,,12,
Lake Forest Graduate School of Management,Lake Forest Graduate School of Management,1905 W. Field Court,Lake Forest,-87.893204,42.243432,,,,,,,,,,,,
Lake Land College,Lake Land College,5001 Lake Land Blvd,Mattoon,-88.380835,39.416969,44,,,,,,,,,,19,
Lake Michigan College,Lake Michigan College,2755 East Napier Avenue,Benton Harbor,-86.393445,42.097276,44,,,,,,,,,,14,
Lake Region State College,Lake Region State College,1801 College Dr N,Devils Lake,-98.869034,48.127948,25,,,,,,,,,,14,
Lake Superior College,Lake Superior College,2101 Trinity Rd,Duluth,-92.145151,46.784550,43,,,,,,,,,,21,
Lake Superior State University,Lake Superior State University,650 W Easterday Ave,Sault Ste Marie,-84.365573,46.492849,76,,2949,1869,490,590,480,570,19,25,16,
Lake Tahoe Community College,Lake Tahoe Community College,One College Drive,South Lake Tahoe,-119.972574,38.926797,54,,,,,,,,,,18,
Lake Technical College,Lake Technical College,2001 Kurt Street,Eustis,-81.690874,28.833446,71,,,,,,,,,,18,
Lake Washington Institute of Technology,Lake Washington Institute of Technology,11605 132nd Ave NE,Kirkland,-122.167131,47.705077,25,,,,,,,,,,12,
Lake-Sumter State College,Lake-Sumter State College,9501 US Hwy 441,Leesburg,-81.797193,28.828649,38,,,,,,,,,,24,
Lakeland Community College,Lakeland Community College,7700 Clocktower Drive,Kirtland,-81.364723,41.637463,38,,,,,,,,,,13,
Lakeland University,Lakeland University,W3718 South Drive,Plymouth,-87.883414,43.841573,64,20668,1541,801,440,540,430,540,16,22,13,
Lakes Region Community College,Lakes Region Community College,379 Belmont Road,Laconia,-71.462602,43.507568,53,,,,,,,,,,10,
Lakeshore Technical College,Lakeshore Technical College,1290 North Avenue,Cleveland,-87.754540,43.924774,33,,,,,,,,,,13,
Lakeview College of Nursing,Lakeview College of Nursing,903 N Logan Ave,Danville,-87.644379,40.138550,57,,,,,,,,,,8,
Lakewood School of Therapeutic Massage,Lakewood School of Therapeutic Massage,1102 6th St,Port Huron,-82.425714,42.972360,87,,,,,,,,,,8,
Lamar Community College,Lamar Community College,2401 S Main St,Lamar,-102.616144,38.068886,68,,,,,,,,,,18,
Lamar Institute of Technology,Lamar Institute of Technology,855 E Lavaca,Beaumont,-94.077126,30.047885,43,,,,,,,,,,17,
Lamar State College-Orange,Lamar State College-Orange,410 Front St,Orange,-93.732235,30.092200,64,,,,,,,,,,22,
Lamar State College-Port Arthur,Lamar State College-Port Arthur,1500 Proctor St,Port Arthur,-93.925886,29.880385,46,,,,,,,,,,19,
Lamar University,Lamar University,4400 MLK Blvd,Beaumont,-94.072244,30.042738,58,,5486,4626,480,570,470,550,18,23,18,
Lamson Institute,Lamson Institute,5819 NW Loop 410-Ste 160,San Antonio,-98.607504,29.481426,50,25580,,,,,,,,,15,
Lancaster Beauty School,Lancaster Beauty School,44646 N 10th St W,Lancaster,-118.147547,34.694914,76,10910,,,,,,,,,21,
Lancaster Bible College,Lancaster Bible College,901 Eden Rd,Lancaster,-76.287761,40.075347,76,21160,442,281,510,610,490,590,20,25,14,
Lancaster County Career and Technology Center,Lancaster County Career and Technology Center,1730 Hans Herr Dr,Willow Street,-76.266186,39.984811,56,,,,,,,,,,17,
Lancaster School of Cosmetology & Therapeutic Bodywork,Lancaster School of Cosmetology & Therapeutic Bodywork,50 Ranck Ave,Lancaster,-76.283649,40.040746,26,12031,,,,,,,,,17,
Lancaster Theological Seminary,Lancaster Theological Seminary,555 W James St,Lancaster,-76.317631,40.045235,,,,,,,,,,,,
Lander University,Lander University,320 Stanley Avenue,Greenwood,-82.164736,34.199892,83,,5454,2322,480,570,450,550,17,22,16,
Landmark College,Landmark College,19 River Rd South,Putney,-72.512549,42.977172,92,51088,360,206,,,,,,,6,
Lane College,Lane College,545 Lane Ave,Jackson,-88.806535,35.627378,94,13239,,,,,,,,,18,
Lane Community College,Lane Community College,4000 E 30th Ave,Eugene,-123.032644,44.009325,52,,,,,,,,,,17,
Laney College,Laney College,900 Fallon Sreet,Oakland,-122.262830,37.797257,53,,,,,,,,,,28,
Langston University,Langston University,102 Page Hall,Langston,-97.260317,35.943982,82,,,,,,,,,,16,
Lanier Technical College,Lanier Technical College,2535 Lanier Tech Drive,Gainesville,-83.777358,34.330178,75,,,,,,,,,,14,
Lansdale School of Business,Lansdale School of Business,290 Wissahickon Avenue,North Wales,-75.284662,40.223790,77,19353,,,,,,,,,8,
Lansdale School of Cosmetology Inc,Lansdale School of Cosmetology Inc,215 W Main St,Lansdale,-75.286281,40.243302,17,15434,,,,,,,,,11,
Lansing Community College,Lansing Community College,419 N Capitol Ave,Lansing,-84.553315,42.737719,37,,,,,,,,,,11,
Laramie County Community College,Laramie County Community College,1400 E College Dr,Cheyenne,-104.778789,41.104288,44,,,,,,,,,,15,
Laredo Beauty College Inc,Laredo Beauty College Inc,3020 N Meadow Ave,Laredo,-99.480788,27.523791,79,4122,,,,,,,,,16,
Laredo CHI Academy Beauty School,Laredo CHI Academy Beauty School,1710 Peaceful Meadow Court,Laredo,-99.467036,27.575732,67,5834,,,,,,,,,16,
Laredo College,Laredo College,West End Washington St,Laredo,-99.520772,27.506477,51,,,,,,,,,,27,
Larry's Barber College,Larry's Barber College,10456 S. Halsted Street,Chicago,-87.643207,41.703711,59,14009,,,,,,,,,25,
Las Positas College,Las Positas College,3000 Campus Hill Drive,Livermore,-121.800580,37.710873,35,,,,,,,,,,25,
Las Vegas College,Las Vegas College,170 North Stephaine Suite 145,Henderson,-115.046190,36.037556,79,17899,,,,,,,,,8,
Lasell College,Lasell College,1844 Commonwealth Avenue,Newton,-71.243470,42.342148,91,28988,3180,2537,490,590,490,580,16,25,13,
Lassen Community College,Lassen Community College,478-200 Hwy 139,Susanville,-120.633271,40.432053,74,,,,,,,,,,22,
Latin Beauty Academy,Latin Beauty Academy,6348 Forest Hill Boulevard,Greenacres,-80.143681,26.649510,49,23369,,,,,,,,,9,
Laurel Business Institute,Laurel Business Institute,11 East Penn St,Uniontown,-79.724907,39.902480,77,6284,144,144,,,,,,,10,
Laurel Technical Institute,Laurel Technical Institute,11618 Cotton Road,MEADVILLE,-80.222294,41.626047,84,6545,80,77,,,,,,,8,
Laurel Technical Institute,Laurel Technical Institute,200 Sterling Ave,Sharon,-80.511433,41.229017,82,7812,91,85,,,,,,,9,
Laurus College,Laurus College,81 Higuera St Ste 110,San Luis Obispo,-120.669519,35.268200,69,12601,,,,,,,,,14,
Lawrence & Company College of Cosmetology,Lawrence & Company College of Cosmetology,810 North 10th Avenue,Hanford,-119.637371,36.333390,60,10331,,,,,,,,,13,
Lawrence & Company College of Cosmetology,Lawrence & Company College of Cosmetology,2048 Grant Street,Selma,-119.611752,36.570318,35,6067,,,,,,,,,14,
Lawrence Memorial Hospital School of Nursing,Lawrence Memorial Hospital School of Nursing,170 Governors Ave,Medford,-71.110958,42.425810,63,,,,,,,,,,6,
Lawrence Technological University,Lawrence Technological University,21000 West Ten Mile Road,Southfield,-83.250030,42.474072,71,30222,2352,1828,510,630,520,650,23,28,11,
Lawrence University,Lawrence University,College Ave,Appleton,-88.397822,44.261323,97,27436,3502,2188,610,710,600,740,27,31,8,
Lawson State Community College,Lawson State Community College,3060 Wilson Rd SW,Birmingham,-86.888844,33.450814,87,,,,,,,,,,16,
LDS Business College,LDS Business College,95 North 300 West,Salt Lake City,-111.900200,40.771130,60,8198,,,,,,,,,21,
Le Moyne College,Le Moyne College,1419 Salt Springs Rd,Syracuse,-76.090435,43.049192,88,23681,7158,4925,540,630,540,640,23,28,12,
Le Moyne-Owen College,Le Moyne-Owen College,807 Walker Ave,Memphis,-90.034101,35.118641,85,7809,419,389,,,,,14,17,13,
Learnet Academy Inc,Learnet Academy Inc,3251 West 6th Street  2nd Floor,Los Angeles,-118.293165,34.063934,,,,,,,,,,,8,
Learning Bridge Career Institute,Learning Bridge Career Institute,1340 West Tunnel Boulevard,Houma,-90.744570,29.598445,10,17985,,,,,,,,,10,
Lebanon College of Cosmetology,Lebanon College of Cosmetology,1136 Lynn Street,Lebanon,-92.667311,37.701690,73,14720,,,,,,,,,6,
Lebanon County Area Vocational Technical School,Lebanon County Area Vocational Technical School,833 Metro Dr,Lebanon,-76.390376,40.341562,63,,,,,,,,,,4,
Lebanon Valley College,Lebanon Valley College,101 N College Ave,Annville,-76.514431,40.330604,93,27877,2731,2136,538,640,530,640,22,28,10,
Lee College,Lee College,511 S Whiting,Baytown,-94.978184,29.732505,39,,,,,,,,,,14,
Lee Professional Institute,Lee Professional Institute,2950 Winkler Avenue Unit 1201,Fort Myers,-81.851331,26.604110,100,16945,,,,,,,,,11,
Lee University,Lee University,1120 N Ocoee St,Cleveland,-84.871399,35.166019,75,17558,2443,2179,480,630,480,590,21,28,16,
Leech Lake Tribal College,Leech Lake Tribal College,6945 Littlewolf Road NW,Cass Lake,-94.651563,47.395686,93,,,,,,,,,,9,
Lees-McRae College,Lees-McRae College,191 Main Street,Banner Elk,-81.873371,36.162477,96,22356,1462,836,,,,,,,12,
Leeward Community College,Leeward Community College,96-045 Ala Ike,Pearl City,-157.983771,21.392670,33,,,,,,,,,,20,
LeGrand Institute of Cosmetology Inc,LeGrand Institute of Cosmetology Inc,2418 Broad St,Camden,-80.609117,34.271931,94,12431,,,,,,,,,15,
Lehigh Carbon Community College,Lehigh Carbon Community College,4525 Education Park Dr,Schnecksville,-75.610715,40.664740,42,,,,,,,,,,18,
Lehigh University,Lehigh University,27 Memorial Drive West,Bethlehem,-75.380236,40.606822,50,26782,15622,3488,620,690,650,760,29,33,9,
Lehigh Valley Barber School,Lehigh Valley Barber School,1517B Irene Street,Bethlehem,-75.346918,40.639992,45,3206,,,,,,,,,11,
LeMelange Academy of Hair,LeMelange Academy of Hair,931 Coombs Street,Napa,-122.286864,38.298114,61,16719,,,,,,,,,,
Lenape Technical School Practical Nursing Program,Lenape Technical School Practical Nursing Program,104 Armstrong Street,Ford City,-79.521054,40.767446,72,,,,,,,,,,11,
Lenoir Community College,Lenoir Community College,231 Highway 58 South,Kinston,-77.571532,35.234405,45,,,,,,,,,,15,
Lenoir-Rhyne University,Lenoir-Rhyne University,625 7th Avenue NE,Hickory,-81.327598,35.739968,87,18927,5087,3759,480,590,480,590,,,13,
Leon Studio One School of Beauty Knowledge,Leon Studio One School of Beauty Knowledge,5385 Main St,Williamsville,-78.752161,42.961017,39,17430,,,,,,,,,6,
Leons Beauty School Inc,Leons Beauty School Inc,1305 Coliseum BLVD,Greensboro,-79.822800,36.057646,42,4962,,,,,,,,,18,
Lesley University,Lesley University,29 Everett St,Cambridge,-71.117303,42.380120,73,32225,3171,2401,475,665,463,628,22,29,10,
Leston College,Leston College,Calle Dr Veve #52,Bayamon,-66.154995,18.399291,70,2912,,,,,,,,,18,
LeTourneau University,LeTourneau University,2100 S Mobberly Ave,Longview,-94.726394,32.466320,58,23386,1922,875,550,650,540,670,21,28,11,
Levittown Beauty Academy,Levittown Beauty Academy,Vermillion Square - 8919 New Falls Road,Levittown,-74.829013,40.177232,65,17461,,,,,,,,,13,
Lewis & Clark College,Lewis & Clark College,0615 S W Palatine Hill Rd,Portland,-122.669137,45.450882,91,35559,6139,4528,,,,,,,12,
Lewis and Clark Community College,Lewis and Clark Community College,5800 Godfrey Rd,Godfrey,-90.194405,38.951624,29,,,,,,,,,,19,
Lewis University,Lewis University,One University Parkway,Romeoville,-88.079032,41.605432,85,18899,5876,3394,520,600,520,600,21,26,13,
Lewis-Clark State College,Lewis-Clark State College,500 8th Ave,Lewiston,-117.024875,46.412199,67,,1867,1865,450,560,440,550,17,22,12,
